,order_date
1155,7
1156,8
1157,2
1158,8
1159,8
1160,1
1161,7
1162,10
1163,3
1164,9
1165,10
1166,5
1167,4
1168,7
1169,7
1170,11
1171,12
1172,3
1173,7
1174,5
1175,3
1176,1
1177,11
1178,1
1179,6
1180,12
1181,3
1182,12
1183,4
1184,8
1185,11
1186,4
1187,6
1188,6
1189,8
1190,12
1191,11
1192,12
1193,6
1194,9
1195,11
1196,5
1197,12
1198,4
1199,7
1200,6
1201,3
1202,2
1203,6
1204,6
1205,8
1206,12
1207,2
1208,12
1209,1
1210,11
1211,2
1212,10
1213,3
1214,10
1215,2
1216,11
1217,6
1218,11
1219,7
1220,7
1221,10
1222,12
1223,9
1224,5
1225,8
1226,8
1227,4
1228,5
1229,8
1230,8
1231,10
1232,11
1233,12
1234,4
1235,5
1236,12
1237,9
1238,9
1239,10
1240,9
1241,4
1242,11
1243,9
1244,6
1245,11
1246,12
1247,5
1248,7
1249,1
1250,6
1251,8
1252,4
1253,11
1254,7
1255,11
1256,9
1257,1
1258,8
1259,3
1260,7
1261,10
1262,11
1263,11
1264,2
1265,12
1266,6
1267,4
1268,10
1269,2
1270,9
1271,1
1272,6
1273,11
1274,9
1275,4
1276,4
1277,5
1278,10
1279,8
1280,10
1281,1
1282,9
1283,3
1284,5
1285,12
1286,12
1287,1
1288,6
1289,1
1290,2
1291,7
1292,12
1293,3
1294,8
1295,12
1296,8
1297,12
1298,8
1299,6
1300,9
1301,7
1302,4
1303,9
1304,9
1305,9
1306,6
1307,4
1308,6
1309,11
1310,5
1311,9
1312,7
1313,10
1314,9
1315,10
1316,10
1317,5
1318,8
1319,8
1320,11
1321,11
1322,8
1323,8
1324,10
1325,2
1326,11
1327,9
1328,11
1329,5
1330,11
1331,11
1332,7
1333,6
1334,12
1335,10
1336,2
1337,11
1338,9
1339,3
1340,7
1341,2
1342,8
1343,7
1344,4
1345,12
1346,1
1347,6
1348,11
1349,4
1350,10
1351,3
1352,6
1353,5
1354,6
1355,8
1356,10
1357,3
1358,5
1359,4
1360,6
1361,5
1362,7
1363,7
